epoch,train_loss,global_test_acc,global_test_loss,aux_apa,aux_loss,core_clean_ratio,recover_ratio,train_ratio,recovery_trigger,core_count,recover_count,train_count,total_count,actual_train_clean_count,actual_round_clean_count,missed_clean_count,false_clean_count,total_wrong_count,actual_train_clean_ratio,clean_recall
148,0.933160,39.470000,1.615868,0.000000,0.000000,0.586800,0.031400,0.618200,1,2934,157,3091,5000,2191,2224,33,900,933,0.708832,0.985162
149,0.950016,42.350000,1.564759,0.000000,0.000000,0.678000,0.000000,0.678000,0,3390,0,3390,5000,2380,2516,136,1010,1146,0.702065,0.945946
150,0.658940,44.140000,1.522265,0.000000,0.000000,0.771400,0.039200,0.810600,1,3857,196,4053,5000,3321,3476,155,732,887,0.819393,0.955409
151,0.739024,44.520000,1.555235,0.000000,0.000000,0.662000,0.000000,0.662000,0,3310,0,3310,5000,2597,2756,159,713,872,0.784592,0.942308
152,0.478306,37.670000,1.659807,0.000000,0.000000,0.666800,0.040400,0.707200,1,3334,202,3536,5000,3178,3264,86,358,444,0.898756,0.973652
153,0.573203,36.090000,1.715161,0.000000,0.000000,0.629000,0.000000,0.629000,0,3145,0,3145,5000,2627,2920,293,518,811,0.835294,0.899658
154,0.852314,42.760000,1.536967,0.000000,0.000000,0.677000,0.034800,0.711800,1,3385,174,3559,5000,2636,2684,48,923,971,0.740657,0.982116
155,0.675764,46.340000,1.460974,0.000000,0.000000,0.658200,0.000000,0.658200,0,3291,0,3291,5000,2696,2868,172,595,767,0.819204,0.940028
156,0.636714,36.640000,1.692537,0.000000,0.000000,0.691200,0.037800,0.729000,1,3456,189,3645,5000,3038,3084,46,607,653,0.833471,0.985084
157,0.646116,47.690000,1.447056,0.000000,0.000000,0.702200,0.000000,0.702200,0,3511,0,3511,5000,2851,3016,165,660,825,0.812019,0.945292
158,0.553193,46.110000,1.499059,0.000000,0.000000,0.754400,0.052400,0.806800,1,3772,262,4034,5000,3443,3556,113,591,704,0.853495,0.968223
159,0.525241,42.260000,1.552093,0.000000,0.000000,0.661400,0.000000,0.661400,0,3307,0,3307,5000,2901,3060,159,406,565,0.877230,0.948039
160,1.022378,44.980000,1.491998,0.000000,0.000000,0.640400,0.033200,0.673600,1,3202,166,3368,5000,2228,2344,116,1140,1256,0.661520,0.950512
161,0.553950,44.440000,1.478291,0.000000,0.000000,0.689600,0.000000,0.689600,0,3448,0,3448,5000,2897,3124,227,551,778,0.840197,0.927337
162,0.782472,40.730000,1.570844,0.000000,0.000000,0.577000,0.023000,0.600000,1,2885,115,3000,5000,2163,2204,41,837,878,0.721000,0.981397
163,0.613745,46.110000,1.452260,0.000000,0.000000,0.677600,0.000000,0.677600,0,3388,0,3388,5000,2836,3040,204,552,756,0.837072,0.932895
164,0.505698,40.930000,1.591279,0.000000,0.000000,0.617600,0.042200,0.659800,1,3088,211,3299,5000,2885,2932,47,414,461,0.874507,0.983970
165,0.521617,38.010000,1.686885,0.000000,0.000000,0.599200,0.000000,0.599200,0,2996,0,2996,5000,2452,2628,176,544,720,0.818425,0.933029
