Experiment Start: 20260616-230210
Args: Namespace(method='default', epochs=500, num_users=100, frac=0.1, local_ep=5, local_bs=50, bs=128, lr=0.01, momentum=0.5, split='user', schedule=[], lr_decay=0.1, weight_decay=0, partition='shard', dd_alpha=0.5, num_shards=200, fed_method='fedavg', model='cnn4conv', dataset='cifar10', iid=False, num_classes=10, num_channels=3, gpu=0, verbose=False, seed=1, all_clients=False, num_workers=4, noise_type_lst=['symmetric'], noise_group_num=[100], group_noise_rate=[0.4], warmup_epochs=100, queue_size=15, forget_rate=0.2, uncertainty_threshold=0.05, alpha=1.2, beta=0.8, labeling='soft', mm_alpha=4, lambda_u=25, T=0.5, p_threshold=0.5, num_neighbors=2, w_alpha=0.5, device=device(type='cuda', index=0), send_2_models=False)
================================================================================

round,train_acc,train_loss,test_acc,test_loss,local_update_loss,time_sec
280,21.210000,2.244061,22.660000,2.199664,1.294021,1947.22
281,20.908000,2.234070,22.700000,2.169860,1.336362,1954.30
282,21.376000,2.207631,21.950000,2.183278,1.304232,1962.03
283,21.096000,2.209455,21.350000,2.194913,1.268952,1969.29
284,22.076000,2.212480,23.230000,2.187254,1.256779,1977.05
285,21.892000,2.193431,21.970000,2.188629,1.305484,1984.19
286,23.064000,2.184336,24.100000,2.145422,1.282017,1991.86
287,22.810000,2.173666,24.420000,2.123879,1.292594,1999.12
288,22.922000,2.185859,23.770000,2.159825,1.305424,2006.60
289,22.146000,2.197726,24.020000,2.162145,1.298970,2013.96
290,22.356000,2.179556,23.570000,2.157675,1.315520,2021.20
291,21.714000,2.203939,22.270000,2.174667,1.281936,2028.51
292,21.800000,2.201708,23.040000,2.173063,1.275732,2035.44
293,20.860000,2.229505,21.650000,2.203945,1.245089,2043.15
294,22.312000,2.215245,23.380000,2.203007,1.240743,2050.13
295,22.248000,2.188405,22.830000,2.165240,1.283172,2057.81
296,22.650000,2.172897,24.020000,2.121540,1.248290,2064.83
297,22.740000,2.177582,23.620000,2.128033,1.285124,2072.49
298,21.714000,2.211633,21.830000,2.197828,1.265846,2079.36
299,21.836000,2.199824,22.210000,2.175089,1.272957,2086.93
300,21.700000,2.199359,22.150000,2.176285,1.254687,2093.75
301,21.352000,2.251115,21.920000,2.254924,1.266872,2101.35
302,20.800000,2.244002,21.380000,2.250430,1.300061,2108.44
303,22.624000,2.188266,23.050000,2.169511,1.268069,2115.93
304,22.244000,2.213311,23.730000,2.162744,1.262861,2123.01
305,21.772000,2.196674,22.780000,2.175344,1.255253,2130.73
306,22.004000,2.235957,22.110000,2.227131,1.236910,2137.68
307,23.266000,2.192904,25.150000,2.139493,1.254067,2145.49
308,22.170000,2.204796,22.950000,2.176881,1.285966,2152.37
309,21.434000,2.222866,21.720000,2.195687,1.258361,2160.12
310,22.158000,2.217631,21.860000,2.222274,1.227031,2167.04
311,22.392000,2.182062,22.490000,2.168981,1.267240,2174.90
312,22.628000,2.220718,23.720000,2.211897,1.253121,2182.46
313,22.760000,2.260026,23.510000,2.257716,1.226865,2190.31
314,21.690000,2.242736,21.300000,2.250739,1.258789,2197.33
315,21.974000,2.215312,21.810000,2.232825,1.243708,2204.94
316,23.194000,2.175723,23.700000,2.155505,1.210340,2212.08
317,22.962000,2.186016,24.930000,2.117856,1.238424,2219.58
318,22.812000,2.191976,23.720000,2.173028,1.282214,2226.51
319,22.566000,2.202647,24.430000,2.155540,1.238289,2234.25
320,22.236000,2.239678,22.530000,2.239257,1.254162,2241.05
321,22.610000,2.197205,22.220000,2.186753,1.248002,2248.67
322,23.234000,2.177277,23.290000,2.146591,1.239919,2255.56
323,21.536000,2.213996,21.550000,2.221871,1.267388,2263.30
324,21.706000,2.221762,21.230000,2.244611,1.246295,2270.21
325,21.544000,2.225031,20.250000,2.279507,1.225477,2278.00
326,22.628000,2.182329,22.280000,2.176507,1.260868,2285.14
327,22.250000,2.226034,23.390000,2.231891,1.227486,2292.90
328,22.378000,2.217394,21.920000,2.261415,1.297859,2299.94
329,23.580000,2.166800,22.890000,2.162146,1.253017,2307.72
330,22.480000,2.214808,21.460000,2.258109,1.241326,2314.63
331,23.714000,2.167419,23.930000,2.150343,1.237365,2322.27
332,22.312000,2.182470,21.350000,2.190318,1.247611,2329.39
333,22.512000,2.213722,22.450000,2.209240,1.223499,2336.74
334,21.216000,2.228651,20.160000,2.243110,1.233873,2344.06
335,22.568000,2.215025,22.660000,2.208605,1.223448,2351.27
336,23.714000,2.181890,24.560000,2.146589,1.222301,2358.67
337,22.682000,2.215411,22.800000,2.199309,1.200638,2365.70
338,23.450000,2.182167,23.770000,2.163491,1.241929,2373.42
339,23.320000,2.173607,24.330000,2.139752,1.214428,2380.54
340,22.628000,2.201585,23.440000,2.172986,1.180847,2388.19
341,21.490000,2.217131,20.890000,2.241598,1.234522,2395.11
342,21.326000,2.238722,20.990000,2.252140,1.232689,2402.58
343,22.016000,2.240664,21.190000,2.261288,1.202061,2409.60
344,22.054000,2.216108,22.080000,2.214344,1.241437,2417.31
345,22.598000,2.215704,22.510000,2.227368,1.241661,2424.39
346,21.380000,2.229394,20.610000,2.257719,1.242157,2432.07
347,22.580000,2.203432,22.360000,2.196493,1.225279,2438.84
